rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
87,"spotify:track:2dhMTwg7O8n4kFYLpCaLC4","Violette Wautier","จังหวะจะรัก","Spicy Disc",11,88,124,"384750"
88,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",5,80,51,"384569"
89,"spotify:track:0tyYfrsTTiqK04TipBrIrg","Rifle, Z9, Sexski","โลกแห่งความฝัน","Rifle",89,152,4,"381370"
90,"spotify:track:1QbP49w60Db4mrhYbsQ8bg","PURPEECH","อาจเป็นเพราะฉันเอง (me.)","MILK!",22,93,120,"379358"
91,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",10,84,107,"376277"
92,"spotify:track:7F9ptErLnyt0r4Q0azfqDG","Bedroom Audio","ไม่บอกเธอ","Bedroom Audio",32,77,74,"372180"
93,"spotify:track:5ILPWem0xm3v85WeXqrTKP","Big Ass","เล่นของสูง","GMM Music Public Company Limited",32,47,73,"371280"
94,"spotify:track:74AOjYyzrx3N9ulPAc8E9F","ดิด คิตตี้","ผู้บ่าวเสื้อปุ๋ย","ดิด คิตตี้ official",80,91,8,"363141"
95,"spotify:track:0cHtr7i0P0TpEODZr2WZDE","fellow fellow","ดาวหางฮัลเลย์","Kicks Records",3,94,101,"362122"
96,"spotify:track:5q2xUSTyggCisITlHEvtB1","Jaonaay","ติดเธอซะก่อน (Sweet Baby)","Sony Music Entertainment Thailand",96,-1,1,"357973"
97,"spotify:track:7naq7gYikvPN8RTsLhyUNM","URBOYTJ, เล็ก รัชเมศฐ์","ถ้าวันนั้น(IF I)","UrboyTJ",97,147,2,"356801"
98,"spotify:track:57NV6TzzYS473R7OgmDepf","YOUNGOHM","ก่อนนอนคืนนี้","Already Deadd",14,83,142,"355627"
