rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
23,"spotify:track:3dygbYXKwcqOQtqctzq9rs","Khaled AlHaneen","ما تبت","Al Haneen",18,25,29,"57369"
24,"spotify:track:1oAwsWBovWRIp7qLMGPIet","Cigarettes After Sex","Apocalypse","Partisan Records",13,24,200,"56822"
25,"spotify:track:4QlbWOnT3ZoR2mTsyg362u","Aws Al Saber","شلون بية","Aws Al Saber",4,21,103,"56203"
26,"spotify:track:4WFgvKVfEhb3IUAFGrutTR","Ravyn Lenae","Love Me Not","Atlantic Records",12,18,28,"55156"
27,"spotify:track:5cF0dROlMOK5uNZtivgu50","Charlie Puth","Attention","Artist Partner",27,28,90,"54317"
28,"spotify:track:6RodD6CVu4mHQRrQJD8XhP","Tayseer Al Safeer","هذا دمعك","Al Hannen",15,34,120,"53800"
29,"spotify:track:35mpZGgYviI4KXOeBQj2qO","Khaled El Hanin","Enta Be Damy","Chello",21,26,35,"52624"
30,"spotify:track:23r7pV4SucFNQonoH58YAF","Mohamed Abdul Jabbar","راح اختار","vin production",18,27,9,"52079"
31,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,23,57,"51982"
32,"spotify:track:0hta2Lb2zKJ7kEnAEZEE3G","wifiskeleton, i wanna be a jack-o-lantern","Nope your too late i already died","9th St. / Hallwood",18,29,20,"51192"
33,"spotify:track:5R9FQXymzyhxjAYAkdbq5Q","sma$her, MXZI","ACELERADA","Tribal Trap",31,42,5,"51165"
34,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",7,33,256,"50750"
35,"spotify:track:0COqiPhxzoWICwFCS4eZcp","Evanescence","Bring Me To Life","The Bicycle Music Company",21,32,68,"50329"
36,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",4,35,51,"49944"
37,"spotify:track:3ckJ0b5j86zI5f9lFA13sp","Bassam Mahdi","Rah","Bassam Mahdi",25,45,95,"48916"
38,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",2,37,111,"48814"
39,"spotify:track:1CduYZngHRf3rlSpn5sdB7","Mohamad Abdel Jabar, Ali Bader","Hbnah Antaha","Al Haneen",29,46,45,"48457"
40,"spotify:track:3rWC89eFiYAC5enhaRLZ5X","Mahmoud Al Turky","Habibi Howa","Star Casablanca",40,64,42,"48152"
41,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",12,36,55,"48152"
42,"spotify:track:0fK7ie6XwGxQTIkpFoWkd1","JENNIE","like JENNIE","OA Entertainment/Columbia",1,41,28,"47518"
43,"spotify:track:7BRD7x5pt8Lqa1eGYC4dzj","Billie Eilish","CHIHIRO","Darkroom/Interscope Records",3,30,70,"47242"
44,"spotify:track:0InIeZW4P6VO7dUGRM4AKH","The Marías","Sienna","Nice Life/Atlantic",44,49,5,"45963"
45,"spotify:track:43iIQbw5hx986dUEZbr3eN","Laufey","From The Start","Laufey",35,39,100,"45921"
46,"spotify:track:5gNAluu4a5nDClPI5pDAoV","Shela","Hay El Zalayl","Rock records",10,44,18,"45781"
47,"spotify:track:2r2vr5ujMEZN9hJzwwc6Jk","KHAOS, Jmilton","Montagem Supersonic","KHAOS",47,51,4,"45377"
48,"spotify:track:7GFPmRIpmI1qRym5wRtSjZ","Fadel Chaker","Maool","Fadel Chaker",48,48,17,"44698"
49,"spotify:track:5EcG8eMMlwkHRVa4aTR1qd","Rihanna","Breakin' Dishes","Def Jam Recordings",33,53,39,"43263"
50,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",1,60,83,"43117"
51,"spotify:track:77HQd3SxG4dsHkFB6hwG9E","جعفر الغزال","ماخسرتك","zeus, Alamraa",15,52,14,"42050"
52,"spotify:track:11gZL0HigsqfzjTHOpdFjE","Nakama, Mc Staff","MENTE MÁ","void",32,47,13,"41591"
53,"spotify:track:0drVi1UxWlH70g2LkTrkUm","Farkd El Lourans","Ghartk El Donyia (2)","Rock records",20,40,27,"41437"
54,"spotify:track:094IjHeVUviN4aBnSXYsuj","Nakama, ΣP","DIA DELÍCIA","Nakama",7,43,17,"41256"
55,"spotify:track:1dDMi1rMxOXGFVDFcF41Ii","Fadel Chaker, Mohamed Chaker","Kifek 3A Fra2e","Fadel Chaker",29,38,10,"41070"
56,"spotify:track:15mtirqNB6IF1owL0WkIUg","Kstr","حبيبي راح مسرع","MusicDiffusion",12,56,61,"40155"
57,"spotify:track:4TOTz0WysSu9eI40QT2vZp","Fadel Chaker","Ahla Rasma","Fadel Chaker",57,61,19,"39483"
58,"spotify:track:2FnkrCrbXJuebXxnVtXiHI","Jmilton, MC Xangai","Vem Vem","Jmilton",23,54,14,"38944"
59,"spotify:track:5IX0ebfjv9o7weodgnjhYx","Rashed Al-Majed","تحدونا","Platinum Records",38,59,17,"38820"
60,"spotify:track:3D33hlROnv1lNCWIXIGsL2","TUL8TE","Narein","MDLBEAST Records",60,65,6,"38527"
61,"spotify:track:1GkBG6kv0tDEDALIG7NR2K","Amr Diab","Baba","Sony Music Entertainment",42,57,9,"37736"
62,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Play It Again Sam",22,85,107,"37724"
63,"spotify:track:3LdGcxMAUp6iDt4cKUTdB6","Abass Ibrahim","Erjaa","HFM.Productions",63,70,13,"37534"
64,"spotify:track:2mdEsXPu8ZmkHRRtAdC09e","Lana Del Rey","Cinnamon Girl","Polydor Records",38,67,94,"36735"
65,"spotify:track:34vAqBu9tgLuGEuVoevI01","احمد السوكني","الدنيا كل يوم تعلم","El Awael Art Productions",65,112,2,"36724"
66,"spotify:track:3Ojh6exk7ODqOowjKlhSYt","Ayed","لماح","Luxury KSA",3,69,60,"36315"
67,"spotify:track:0vGAjG4vLZmyZvnCWKW0WG","Bee Remix","ايباه (ريمكس)","Bee Remix",2,71,64,"36187"
68,"spotify:track:63Pi2NAx5yCgeLhCTOrEou","Imogen Heap","Headlock","Megaphonic",12,50,42,"36078"
