rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
190,"spotify:track:2So4UdTcMQe2ap2VpC43eD","nour, Eldab3","Meen Ysadak","Global",13,182,36,"105524"
191,"spotify:track:017i4wLBIsXKvPoxpfoUvu","Karim Cristiano","حالق موليت ( اسمك كارفه في دايرتك )","Karim Cristiano",82,183,11,"105329"
192,"spotify:track:35VEY9yoVhbR5hvFaMJaeU","Essam Sasa","غيبنا وغاب الابداع والشغلانه لمت","Essam Saasa",10,122,24,"105261"
193,"spotify:track:0LATdOZWL4xkqHnWMwXQap","Ramy Sabry","Mosh Farea","Global",138,174,19,"104930"
194,"spotify:track:66xEfcpMCCim4juc0dN4Q2","Angham","خليك معاها","Angham",78,-1,20,"104549"
195,"spotify:track:1WxfSAzZvFpAskwfTQcd58","Ahmed Saad","واحشني نفسي - تتر بدايه مسلسل جعفر العمده","BEE Interactive",30,-1,119,"104473"
196,"spotify:track:3IaSGJ74SCZAXxzSUmfhdE","Mohamed Mounir","Shamandora","Global",147,178,53,"103726"
197,"spotify:track:0STqlJeNwFAWLElPJSFP2c","Tamer Hosny, Mohamed Mounir","الذوق العالي","Warner Music Middle East",133,177,3,"103686"
198,"spotify:track:0IBlZNCzWeVbcysHPrz1wH","Amr Diab","Baed El Layali","Global",168,195,18,"103392"
199,"spotify:track:6SV1CubigxqGfvoSU6uCEV","ليل المحمدي","ما تيجي نركن الزعل","ليل المحمدي",58,186,27,"103363"
200,"spotify:track:67MK56OGVIiGaT4vYsSD31","Eslam Kabonga","الحبسه موضه - مهرجان - الحبسه موضه - اسلام كابونجا - توزيع فيجو الدخلاوي - مهرجانات 2023 Official Music","اسلام كابونجا",141,148,4,"103086"
